ticker,name,sector,sector_id,detail_url
MUA,Multi-Trex Integrated Foods,Food Beverages and Tobacco,14,/compDetail.php?s=MUA&p=qs
MUL,Multiverse,Engineering Technology,13,/compDetail.php?s=MUL&p=qs
MVA,MEDVIEW AIRLINE PLC,Airline Services,2,/compDetail.php?s=MVA&p=qs
NAH,Nigerian Aviation Handling PLC,Airline Services,2,/compDetail.php?s=NAH&p=qs
NAM,NAMPAK PLC,Packaging,25,/compDetail.php?s=NAM&p=qs
NBC,Nigeria Bottling Company PLC,Food Beverages and Tobacco,14,/compDetail.php?s=NBC&p=qs
NBL,Nigerian Breweries PLC,Breweries,6,/compDetail.php?s=NBL&p=qs
NCL,Niger Cem,Building Materials,7,/compDetail.php?s=NCL&p=qs
NCR,NCR (Nigeria) PLC,Computer and Office Equipment,10,/compDetail.php?s=NCR&p=qs
NEC,Nig Enamelware Co PLC,Industrial Domestic Products,18,/compDetail.php?s=NEC&p=qs
NEM,NEM Insurance Co (NIG) PLC,Insurance,19,/compDetail.php?s=NEM&p=qs
NES,Nestle Nigeria PLC,Food Beverages and Tobacco,14,/compDetail.php?s=NES&p=qs
NGC,Nigerian-German Chemicals Ltd,Chemical and Paints,8,/compDetail.php?s=NGC&p=qs
NGX,Nigerian Exchange Group PLC,Other Financial Institutions,24,/compDetail.php?s=NGX&p=qs
NIC,Niger Insurance Co PLC,Insurance,19,/compDetail.php?s=NIC&p=qs
NIM,Neimeth international PLC,Healthcare,16,/compDetail.php?s=NIM&p=qs
NIY,NIYAMCO PLC,Industrial Domestic Products,18,/compDetail.php?s=NIY&p=qs
NLI,Nigeria Lamps Industry PLC,Industrial Domestic Products,18,/compDetail.php?s=NLI&p=qs
NNF,Northern Nigeria Flour Mills PLC,Food Beverages and Tobacco,14,/compDetail.php?s=NNF&p=qs
NOT,Notore Chemical Industries Plc,Chemical and Paints,8,/compDetail.php?s=NOT&p=qs
NPF,NPF Microfinance Bank PLC,Mortgage Companies,23,/compDetail.php?s=NPF&p=qs
NRL,Nigerian Ropes PLC,Building Materials,7,/compDetail.php?s=NRL&p=qs
NSC,NASCON Allied Industries,Food Beverages and Tobacco,14,/compDetail.php?s=NSC&p=qs
NSL,Secure Electronic Tech.,Commercial Services,9,/compDetail.php?s=NSL&p=qs
NSM,Nig Sewing Mach Man Co PLC,Machinery (Marketing),21,/compDetail.php?s=NSM&p=qs
NTX,Nig Textile Mills PLC,Textiles,30,/compDetail.php?s=NTX&p=qs
NWC,Nigerian Wire and Cable,Engineering Technology,13,/compDetail.php?s=NWC&p=qs
NWI,Nigerian Wire Ind. PLC,Building Materials,7,/compDetail.php?s=NWI&p=qs
OCB,Oceanic Bank PLC,Banking,5,/compDetail.php?s=OCB&p=qs
ODL,Oando PLC,Petroleum (Marketing),26,/compDetail.php?s=ODL&p=qs
OIC,Oasis Insurance Co PLC,Insurance,19,/compDetail.php?s=OIC&p=qs
OKI,Okitupupa Oil Palm,Agriculture/Agro Allied,1,/compDetail.php?s=OKI&p=qs
OKM,Okomu Oil Palm PLC,Agriculture/Agro Allied,1,/compDetail.php?s=OKM&p=qs
OLU,Oluwa Glass Company PLC,Industrial Domestic Products,18,/compDetail.php?s=OLU&p=qs
OMK,OMATEK,Computer and Office Equipment,10,/compDetail.php?s=OMK&p=qs
PAL,Prestige Assurance PLC,Insurance,19,/compDetail.php?s=PAL&p=qs
PBL,Premier Breweries PLC,Breweries,6,/compDetail.php?s=PBL&p=qs
PCM,Paints and Coatings Mfg,Chemical and Paints,8,/compDetail.php?s=PCM&p=qs
PHA,Pharma-Deko PLC,Healthcare,16,/compDetail.php?s=PHA&p=qs
PHB,Bank PHB PLC,Banking,5,/compDetail.php?s=PHB&p=qs
PIN,PINACLE Point Group PLC,Foreign Listings,32,/compDetail.php?s=PIN&p=qs
POR,Portland Paint and Products,Chemical and Paints,8,/compDetail.php?s=POR&p=qs
PPL,Poly Products PLC,Packaging,25,/compDetail.php?s=PPL&p=qs
PPP,Premier Paints PLC,Chemical and Paints,8,/compDetail.php?s=PPP&p=qs
PRS,PRESCO PLC,Agriculture/Agro Allied,1,/compDetail.php?s=PRS&p=qs
PSM,P.S. Mandrides and Co PLC,Food Beverages and Tobacco,14,/compDetail.php?s=PSM&p=qs
PZN,P Z Cussons Nigeria PLC,Conglomerates,11,/compDetail.php?s=PZN&p=qs
REA,Royal Exchange Assurance PLC,Insurance,19,/compDetail.php?s=REA&p=qs
RED,Red Star Express PLC,Commercial Services,9,/compDetail.php?s=RED&p=qs
RES,Resort Savings & Loans PLC,Mortgage Companies,23,/compDetail.php?s=RES&p=qs
RGI,Regency Alliance Insurance PLC,Insurance,19,/compDetail.php?s=RGI&p=qs
RNP,ROADS Nig PLC,Construction,12,/compDetail.php?s=RNP&p=qs
RON,RONCHESS GLOBAL RESOURCES PLC,Construction,12,/compDetail.php?s=RON&p=qs
